"PORTO","PROGR","PROG_AUSENTE","ATRACACAO","MES","ANO","TARIFA_FREIRE","COD_TARIFA_AJUSTADO","DESC_TARIFA_AJUSTADA","FAMILIA","EMPRESA_PRINCIPAL","QTDE","VALOR","LOCAL_ATRACACAO","DATA_HORA_ATRACACAO","DATA_HORA_DESATRACACAO","DIF_ATRACACAO_HOURS","DIF_ATRACACAO_DIAS","SENTIDO","NAVEGACAO","EMPRESA_PAGADORA","NATUREZA_CARGA","COMPRIMENTO_EMBARCACAO","LARGURA_EMBARCACAO","TLR_EMBARCACAO","TWD_EMBARCACAO","CALADO_EMBARCACAO","CNPJ_EMPRESA_PRINCIPAL"
"ARATU","22050",0,0,"1","2023","I.1.1.3.1 - GRANEL LÍQUIDO/GASOSO (CAB.)","I.1.1.3.1","Granel Líquido/Gasoso (CAB.)","I1 - MARÍTIMA","BAHIA TANKERS AGENCIA MARITIMA LTDA",4900.03,19551.12,"Píer TGL Sul",2023-01-02 09:10:00,2023-01-03 17:50:00,32.67,1.36,"Exportação","Cabotagem","42150391003439 - BRASKEM S/A..","Normal",112.4,0,2738,10282,0,"07285820000116"
"ARATU","22050",0,0,"1","2023","I.2.2.4 - EMB.ATRAC.PIER GR.LÍQUIDOS  - TGL SUL","I.2.2.4","Embarc. Atrac..pier Granel Líquido  - TGLl SUL","I2 - ACOSTAGEM","BAHIA TANKERS AGENCIA MARITIMA LTDA",1,2026.2,"Píer TGL Sul",2023-01-02 09:10:00,2023-01-03 17:50:00,32.67,1.36,"Exportação","Cabotagem","07285820000116 - BAHIA TANKERS AGENCIA MARITIMA LTDA","Normal",112.4,0,2738,10282,0,"07285820000116"
"ARATU","22050",0,0,"1","2023","I.2.2.4.1 - EMB.ATRAC.PIER GR.LÍQUIDOS  - TGL SUL  (DOBRO)","I.2.2.4.1","Embarc. Atrac..pier Granel Líquido  - TGLl SUL  (Dobro)","I2 - ACOSTAGEM","BAHIA TANKERS AGENCIA MARITIMA LTDA",7,429.8,"Píer TGL Sul",2023-01-02 09:10:00,2023-01-03 17:50:00,32.67,1.36,"Exportação","Cabotagem","07285820000116 - BAHIA TANKERS AGENCIA MARITIMA LTDA","Normal",112.4,0,2738,10282,0,"07285820000116"
"ARATU","22050",0,0,"1","2023","I.3.1.5.3 - GRANEL GASOSO - TGL E TPG PORTO ARATU (CAB.)","I.3.1.5.3","Granel Gasoso - TGL E TPG Porto Aratu (CAB.)","I3 - TERRESTRE","BAHIA TANKERS AGENCIA MARITIMA LTDA",4900.03,21462.13,"Píer TGL Sul",2023-01-02 09:10:00,2023-01-03 17:50:00,32.67,1.36,"Exportação","Cabotagem","42150391003439 - BRASKEM S/A..","Normal",112.4,0,2738,10282,0,"07285820000116"
"ARATU","22031",0,0,"1","2023","I.1.1.2 - GRANEL SÓLIDO (L.C.)","I.1.1.2","Granel Sólido (L.C.)","I1 - MARÍTIMA","FERTIPAR-FERTIL.DO NORDESTE LTDA",245,977.55,"Píer TGS I Norte",2023-01-03 16:20:00,2023-01-07 10:45:00,90.42,3.77,"Importação","Longo Curso","73674202000273 - FERTILIZANTES DO NORDESTE LTDA","Normal",189.99,32.26,0,55649,0,"02119258000218"
"ARATU","22031",0,0,"1","2023","I.1.1.2 - GRANEL SÓLIDO (L.C.)","I.1.1.2","Granel Sólido (L.C.)","I1 - MARÍTIMA","FERTIPAR-FERTIL.DO NORDESTE LTDA",1100,4389,"Píer TGS I Norte",2023-01-03 16:20:00,2023-01-07 10:45:00,90.42,3.77,"Importação","Longo Curso","04457322000115 - GRANPHOS FERTILIZANTES LTDA","Normal",189.99,32.26,0,55649,0,"02119258000218"
"ARATU","22031",0,0,"1","2023","I.1.1.2 - GRANEL SÓLIDO (L.C.)","I.1.1.2","Granel Sólido (L.C.)","I1 - MARÍTIMA","FERTIPAR-FERTIL.DO NORDESTE LTDA",3555,14184.45,"Píer TGS I Norte",2023-01-03 16:20:00,2023-01-07 10:45:00,90.42,3.77,"Importação","Longo Curso","73674202000273 - FERTILIZANTES DO NORDESTE LTDA","Normal",189.99,32.26,0,55649,0,"02119258000218"
"ARATU","22031",0,0,"1","2023","I.1.1.2 - GRANEL SÓLIDO (L.C.)","I.1.1.2","Granel Sólido (L.C.)","I1 - MARÍTIMA","FERTIPAR-FERTIL.DO NORDESTE LTDA",4750,18952.5,"Píer TGS I Norte",2023-01-03 16:20:00,2023-01-07 10:45:00,90.42,3.77,"Importação","Longo Curso","02119258000218 - FERTIPAR-FERTIL.DO NORDESTE LTDA","Normal",189.99,32.26,0,55649,0,"02119258000218"
"ARATU","22031",0,0,"1","2023","I.1.1.2 - GRANEL SÓLIDO (L.C.)","I.1.1.2","Granel Sólido (L.C.)","I1 - MARÍTIMA","FERTIPAR-FERTIL.DO NORDESTE LTDA",5700,22743,"Píer TGS I Norte",2023-01-03 16:20:00,2023-01-07 10:45:00,90.42,3.77,"Importação","Longo Curso","02119258000218 - FERTIPAR-FERTIL.DO NORDESTE LTDA","Normal",189.99,32.26,0,55649,0,"02119258000218"
"ARATU","22042",0,0,"1","2023","I.1.1.3.1 - GRANEL LÍQUIDO/GASOSO (CAB.)","I.1.1.3.1","Granel Líquido/Gasoso (CAB.)","I1 - MARÍTIMA","ORION OPERACOES PORTUARIAS LTDA",172.472,688.16,"Píer TGL Norte",2023-01-03 09:10:01,2023-01-05 01:50:01,40.67,1.69,"Importação","Cabotagem","42150391000170 - BRASKEM S.A.","Normal",119.98,0,4018,13021,0,"75185389001249"
"ARATU","22042",0,0,"1","2023","I.1.1.3.1 - GRANEL LÍQUIDO/GASOSO (CAB.)","I.1.1.3.1","Granel Líquido/Gasoso (CAB.)","I1 - MARÍTIMA","ORION OPERACOES PORTUARIAS LTDA",314.217,1253.73,"Píer TGL Norte",2023-01-03 09:10:01,2023-01-05 01:50:01,40.67,1.69,"Importação","Cabotagem","42150391000170 - BRASKEM S.A.","Normal",119.98,0,4018,13021,0,"75185389001249"
"ARATU","22042",0,0,"1","2023","I.1.1.3.1 - GRANEL LÍQUIDO/GASOSO (CAB.)","I.1.1.3.1","Granel Líquido/Gasoso (CAB.)","I1 - MARÍTIMA","ORION OPERACOES PORTUARIAS LTDA",699.686,2791.75,"Píer TGL Norte",2023-01-03 09:10:01,2023-01-05 01:50:01,40.67,1.69,"Importação","Cabotagem","42150391000170 - BRASKEM S.A.","Normal",119.98,0,4018,13021,0,"75185389001249"
"ARATU","22042",0,0,"1","2023","I.1.1.3.1 - GRANEL LÍQUIDO/GASOSO (CAB.)","I.1.1.3.1","Granel Líquido/Gasoso (CAB.)","I1 - MARÍTIMA","ORION OPERACOES PORTUARIAS LTDA",2299.582,9175.33,"Píer TGL Norte",2023-01-03 09:10:01,2023-01-05 01:50:01,40.67,1.69,"Importação","Cabotagem","42150391000170 - BRASKEM S.A.","Normal",119.98,0,4018,13021,0,"75185389001249"
"ARATU","22042",0,0,"1","2023","I.1.1.3.1 - GRANEL LÍQUIDO/GASOSO (CAB.)","I.1.1.3.1","Granel Líquido/Gasoso (CAB.)","I1 - MARÍTIMA","ORION OPERACOES PORTUARIAS LTDA",3585.411,14305.79,"Píer TGL Norte",2023-01-03 09:10:01,2023-01-05 01:50:01,40.67,1.69,"Importação","Cabotagem","42150391000170 - BRASKEM S.A.","Normal",119.98,0,4018,13021,0,"75185389001249"
"ARATU","22042",0,0,"1","2023","I.2.2.5 - EMB.ATRAC. PIER GR.LÍQUIDOS - TGL NORTE","I.2.2.5","Embarc. Atrac.. Pier Granel Líquido - TGL Norte","I2 - ACOSTAGEM","ORION OPERACOES PORTUARIAS LTDA",1,3257.86,"Píer TGL Norte",2023-01-03 09:10:01,2023-01-05 01:50:01,40.67,1.69,"Importação","Cabotagem","75185389001249 - ORION OPERACOES PORTUARIAS LTDA","Normal",119.98,0,4018,13021,0,"75185389001249"
"ARATU","22042",0,0,"1","2023","I.2.2.5.1 - EMB.ATRAC. PIER GR.LÍQUIDOS - TGL NORTE (DOBRO)","I.2.2.5.1","Embarc. Atrac.. Pier Granel Líquido - TGL Norte (Dobro)","I2 - ACOSTAGEM","ORION OPERACOES PORTUARIAS LTDA",2,158.92,"Píer TGL Norte",2023-01-03 09:10:01,2023-01-05 01:50:01,40.67,1.69,"Importação","Cabotagem","75185389001249 - ORION OPERACOES PORTUARIAS LTDA","Normal",119.98,0,4018,13021,0,"75185389001249"
"ARATU","22042",0,0,"1","2023","I.3.1.5.10-vopak - CONTRATO VOPAK 016/1999 (CAB.)","I.3.1.5.10","Contrato Vopak 016/1999 (CAB.)","I3 - TERRESTRE","ORION OPERACOES PORTUARIAS LTDA",699.686,7339.71,"Píer TGL Norte",2023-01-03 09:10:01,2023-01-05 01:50:01,40.67,1.69,"Importação","Cabotagem","44167450000734 - VOPAK BRASIL S/A","Normal",119.98,0,4018,13021,0,"75185389001249"
"ARATU","22042",0,0,"1","2023","I.3.1.5.13-vopak2 - CONTRATO VOPAK 044/2002 (CAB.)","I.3.1.5.132","Contrato Vopak 044/2002 (CAB.)","I3 - TERRESTRE","ORION OPERACOES PORTUARIAS LTDA",172.472,1434.97,"Píer TGL Norte",2023-01-03 09:10:01,2023-01-05 01:50:01,40.67,1.69,"Importação","Cabotagem","44167450000734 - VOPAK BRASIL S/A","Normal",119.98,0,4018,13021,0,"75185389001249"
"ARATU","22042",0,0,"1","2023","I.3.1.5.7-ultracargo - CONTRATO ULTRACARGO 044/2001 (CAB.)","I.3.1.5.7","Contrato Ultracargo 044/2001 (CAB.)","I3 - TERRESTRE","ORION OPERACOES PORTUARIAS LTDA",3585.411,33057.49,"Píer TGL Norte",2023-01-03 09:10:01,2023-01-05 01:50:01,40.67,1.69,"Importação","Cabotagem","14688220000164 - ULTRACARGO LOGISTICA S.A.","Normal",119.98,0,4018,13021,0,"75185389001249"
"ARATU","22042",0,0,"1","2023","I.3.1.7 - CONTRATO ULTRACARGO 024/2002 (CAB.)","I.3.1.7","Contrato Ultracargo 024/2002 (CAB.)","I3 - TERRESTRE","ORION OPERACOES PORTUARIAS LTDA",314.217,1260.01,"Píer TGL Norte",2023-01-03 09:10:01,2023-01-05 01:50:01,40.67,1.69,"Importação","Cabotagem","14688220000164 - ULTRACARGO LOGISTICA S.A.","Normal",119.98,0,4018,13021,0,"75185389001249"
"ARATU","22042",0,0,"1","2023","I.3.1.7 - CONTRATO ULTRACARGO 024/2002 (CAB.)","I.3.1.7","Contrato Ultracargo 024/2002 (CAB.)","I3 - TERRESTRE","ORION OPERACOES PORTUARIAS LTDA",2299.582,9221.32,"Píer TGL Norte",2023-01-03 09:10:01,2023-01-05 01:50:01,40.67,1.69,"Importação","Cabotagem","14688220000164 - ULTRACARGO LOGISTICA S.A.","Normal",119.98,0,4018,13021,0,"75185389001249"
"ARATU","22051",0,0,"1","2023","I.1.1.3 - GRANEL LÍQUIDO/GASOSO (L.C.)","I.1.1.3","Granel Líquido/Gasoso (L.C.)","I1 - MARÍTIMA","BAHIA TANKERS AGENCIA MARITIMA LTDA",53243.657,212442.19,"Píer TPG",2023-01-03 11:35:00,2023-01-05 20:10:00,56.58,2.36,"Importação","Longo Curso","42150391000170 - BRASKEM S.A.","Normal",228.6,0,22444,73715,0,"07285820000116"
"ARATU","22051",0,0,"1","2023","I.2.2.6 - EMB.ATRAC PÍER  PRODUTOS GASOSOS - TPG","I.2.2.6","Embarc. Atrac. Píer  Produtos Gasosos - TPG","I2 - ACOSTAGEM","BAHIA TANKERS AGENCIA MARITIMA LTDA",1,6113.82,"Píer TPG",2023-01-03 11:35:00,2023-01-05 20:10:00,56.58,2.36,"Importação","Longo Curso","07285820000116 - BAHIA TANKERS AGENCIA MARITIMA LTDA","Normal",228.6,0,22444,73715,0,"07285820000116"
"ARATU","22051",0,0,"1","2023","I.2.2.6.1 - EMB.ATRAC PÍER  PRODUTOS GASOSOS - TPG. (DOBRO)","I.2.2.6.1","Embarc. Atrac. Píer  Produtos Gasosos - TPG. (Dobro)","I2 - ACOSTAGEM","BAHIA TANKERS AGENCIA MARITIMA LTDA",3,321.78,"Píer TPG",2023-01-03 11:35:00,2023-01-05 20:10:00,56.58,2.36,"Importação","Longo Curso","07285820000116 - BAHIA TANKERS AGENCIA MARITIMA LTDA","Normal",228.6,0,22444,73715,0,"07285820000116"
"ARATU","22051",0,0,"1","2023","I.3.1.5 - GRANEL LÍQUIDO - TGL E TPG PORTO ARATU (L.C.)","I.3.1.5","Granel Líquido - TGL E TPG Porto Aratu (L.C.)","I3 - TERRESTRE","BAHIA TANKERS AGENCIA MARITIMA LTDA",53243.657,233207.22,"Píer TPG",2023-01-03 11:35:00,2023-01-05 20:10:00,56.58,2.36,"Importação","Longo Curso","42150391000170 - BRASKEM S.A.","Normal",228.6,0,22444,73715,0,"07285820000116"
"ARATU","22054",0,0,"1","2023","I.1.1.3 - GRANEL LÍQUIDO/GASOSO (L.C.)","I.1.1.3","Granel Líquido/Gasoso (L.C.)","I1 - MARÍTIMA","ROCHAMAR AGENCIA MARITIMA S.A.",2114.03,8434.98,"Píer TGL Norte",2023-01-07 17:55:01,2023-01-08 20:25:01,26.5,1.1,"Importação","Longo Curso","20920259000320 - BLUE CUBE BRASIL COMERCIO DE PRODUTOS QUIMICOS LTDA","Normal",141,0,6115,19801,0,"11256147000910"
"ARATU","22054",0,0,"1","2023","I.1.1.3 - GRANEL LÍQUIDO/GASOSO (L.C.)","I.1.1.3","Granel Líquido/Gasoso (L.C.)","I1 - MARÍTIMA","ROCHAMAR AGENCIA MARITIMA S.A.",2398.867,9571.48,"Píer TGL Norte",2023-01-07 17:55:01,2023-01-08 20:25:01,26.5,1.1,"Importação","Longo Curso","64858525013980 - MONSANTO DO BRASIL LTDA","Normal",141,0,6115,19801,0,"11256147000910"
