"NUM_FATURA","NUM_ITEM_FATURA","COD_SERVICO_ERP","DESCR_SERVICO","QTD_ITEM","VLR_PRECO","VLR_TOTAL","PORTO"
"291",892,"I.2.2.1.1","NÃO EXISTE",0,0,0,"SALVADOR"
"293",894,"I.2.1.1","NÃO EXISTE",0,0,0,"SALVADOR"
"593",1948,"I.1.1.1","INFRAESTRUTURA MARÍTMA  [TONELADA ] ",100.6,3.99,401.39,"SALVADOR"
"593",1951,"I.3.1.1","INFRAESTRUTURA TERRESTRE   [TONELADA ] ",100.6,5.12,515.07,"SALVADOR"
"11181",14054,"S.II.1.1.1","ACOSTAGEM",2091.06,0.67,1401.01,"SALVADOR"
"11233",14249,"S.II.1.1.1","ACOSTAGEM",4548.57,0.67,3047.54,"SALVADOR"
"11251",14312,"S.II.1.1.1","ACOSTAGEM",5834.06,0.67,3908.82,"SALVADOR"
"11328",14553,"S.II.1.1.1","ACOSTAGEM",1283.6,0.67,860.01,"SALVADOR"
"11448",14956,"S.II.1.1.1","ACOSTAGEM",8398.8,0.67,5627.2,"SALVADOR"
"11980",16102,"S.II.1.1.1","ACOSTAGEM",1925.4,0.67,1290.02,"SALVADOR"
"12240",16928,"S.II.1.1.1","ACOSTAGEM",2790,0.67,1869.3,"SALVADOR"
"12242",16934,"S.I.1","INFRAESTRUTURA AQUAVIARIA",1,3402.07,3402.07,"SALVADOR"
"12242",16935,"S.I.2.1.2","INFRAESTRUTURA AQUAVIARIA",85450,0.2,17090,"SALVADOR"
"12242",16936,"S.II.1.1.1","ACOSTAGEM",3887,0.67,2604.29,"SALVADOR"
"12325",17209,"S.II.1.1.1","ACOSTAGEM",3289,0.67,2203.63,"SALVADOR"
"12730",18468,"S.II.1.1.1","ACOSTAGEM",3328.35,0.67,2229.99,"SALVADOR"
"591",1946,"I.1.1.1","INFRAESTRUTURA MARÍTMA  [TONELADA ] ",1502.4,3.99,5994.58,"SALVADOR"
"591",1949,"I.3.1.1","INFRAESTRUTURA TERRESTRE   [TONELADA ] ",1502.4,5.12,7692.29,"SALVADOR"
"592",1947,"I.1.1.1","INFRAESTRUTURA MARÍTMA  [TONELADA ] ",700,3.99,2793,"SALVADOR"
"592",1950,"I.3.1.1","INFRAESTRUTURA TERRESTRE   [TONELADA ] ",700,5.12,3584,"SALVADOR"
"346",1155,"I.1.1.2","INFRAESTRUTURA MARÍTMA  [TONELADA ] ",2030.78,3.99,8102.81,"SALVADOR"
"346",1156,"I.3.1.3","INFRAESTRUTURA TERRESTRE   [TONELADA ] ",2030.78,5.12,10397.59,"SALVADOR"
"588",1940,"I.1.1.2","INFRAESTRUTURA MARÍTMA  [TONELADA ] ",2497.07,3.99,9963.33,"SALVADOR"
"588",1942,"I.3.1.3","INFRAESTRUTURA TERRESTRE   [TONELADA ] ",2497.07,5.12,12785.02,"SALVADOR"
"722",2455,"I.1.1.2","INFRAESTRUTURA MARÍTMA  [TONELADA ] ",4019.79,3.99,16038.97,"SALVADOR"
"722",2456,"I.3.1.3","INFRAESTRUTURA TERRESTRE   [TONELADA ] ",4019.79,5.12,20581.33,"SALVADOR"
"10843",13050,"I.1.1.2","INFRAESTRUTURA MARÍTMA  [TONELADA ] ",4152.96,3.99,16570.29,"SALVADOR"
"10843",13051,"I.3.1.3","INFRAESTRUTURA TERRESTRE   [TONELADA ] ",4152.96,5.12,21263.13,"SALVADOR"
"10850",13060,"I.1.1.1","INFRAESTRUTURA MARÍTMA  [TONELADA ] ",6012.42,3.99,23989.55,"SALVADOR"
"10850",13061,"I.1.1.1","INFRAESTRUTURA MARÍTMA  [TONELADA ] ",6012.42,3.99,23989.55,"SALVADOR"
"11164",14009,"S.VII.6","PESAGEM DE MERCADORIA INCLUINDO TARA",159.9,1,159.9,"SALVADOR"
"11800",15643,"S.VII.6","PESAGEM DE MERCADORIA INCLUINDO TARA",95.59,1,95.59,"SALVADOR"
"10851",13062,"I.1.1.1","INFRAESTRUTURA MARÍTMA  [TONELADA ] ",780.19,3.99,3112.97,"SALVADOR"
"10954",13401,"S.I.1","INFRAMAR-ATRACAÇÃO EM TUP PARA OUTROS FINS",1,3402.07,3402.07,"SALVADOR"
"11136",13915,"S.I.1","INFRAMAR-ATRACAÇÃO EM TUP PARA OUTROS FINS",1,3402.07,3402.07,"SALVADOR"
"11510",15082,"S.I.1","INFRAMAR-ATRACAÇÃO EM TUP PARA OUTROS FINS",1,3402.07,3402.07,"SALVADOR"
"11514",15089,"S.I.1","INFRAMAR-ATRACAÇÃO EM TUP PARA OUTROS FINS",1,3402.07,3402.07,"SALVADOR"
"11594",15253,"S.I.1","INFRAMAR-ATRACAÇÃO EM TUP PARA OUTROS FINS",1,3402.07,3402.07,"SALVADOR"
"11601",15265,"S.I.1","INFRAMAR-ATRACAÇÃO EM TUP PARA OUTROS FINS",1,3402.07,3402.07,"SALVADOR"
"12236",16920,"S.I.1","INFRAMAR-ATRACAÇÃO EM TUP PARA OUTROS FINS",1,3402.07,3402.07,"SALVADOR"
"12563",17999,"S.I.1","INFRAMAR-ATRACAÇÃO EM TUP PARA OUTROS FINS",1,3402.07,3402.07,"SALVADOR"
"12566",18004,"S.I.1","INFRAMAR-ATRACAÇÃO EM TUP PARA OUTROS FINS",1,3402.07,3402.07,"SALVADOR"
"12797",18669,"S.I.1","INFRAMAR-ATRACAÇÃO EM TUP PARA OUTROS FINS",1,3402.07,3402.07,"SALVADOR"
"11605",15272,"S.I.1","INFRAMAR-ATRACAÇÃO EM TUP PARA OUTROS FINS",1,3402.07,3402.07,"SALVADOR"
"11727",15481,"S.I.1","INFRAMAR-ATRACAÇÃO EM TUP PARA OUTROS FINS",1,3402.07,3402.07,"SALVADOR"
"11840",15702,"S.I.1","INFRAMAR-ATRACAÇÃO EM TUP PARA OUTROS FINS",1,3402.07,3402.07,"SALVADOR"
"11847",15729,"S.I.1","INFRAMAR-ATRACAÇÃO EM TUP PARA OUTROS FINS",1,3402.07,3402.07,"SALVADOR"
"12017",16240,"S.I.1","INFRAMAR-ATRACAÇÃO EM TUP PARA OUTROS FINS",1,3402.07,3402.07,"SALVADOR"
"12126",16553,"S.I.1","INFRAMAR-ATRACAÇÃO EM TUP PARA OUTROS FINS",1,3402.07,3402.07,"SALVADOR"
"615",2035,"I.1.1.2","INFRAESTRUTURA MARÍTMA  [TONELADA ] ",10.2,3.99,40.7,"SALVADOR"
"615",2041,"I.3.1.3","INFRAESTRUTURA TERRESTRE   [TONELADA ] ",10.2,5.12,52.23,"SALVADOR"
"651",2209,"II.3.8","ESTACIONAMENTO CAMINHÃO/CARRETA/EQUIPAMENTOS",2,33.55,67.1,"SALVADOR"
"652",2210,"II.3.8","ESTACIONAMENTO CAMINHÃO/CARRETA/EQUIPAMENTOS",2,33.55,67.1,"SALVADOR"
"653",2211,"II.3.8","ESTACIONAMENTO CAMINHÃO/CARRETA/EQUIPAMENTOS",2,33.55,67.1,"SALVADOR"
"657",2221,"II.3.8","ESTACIONAMENTO CAMINHÃO/CARRETA/EQUIPAMENTOS",4,33.55,134.2,"SALVADOR"
"658",2222,"II.3.8","ESTACIONAMENTO CAMINHÃO/CARRETA/EQUIPAMENTOS",4,33.55,134.2,"SALVADOR"
"659",2223,"II.3.8","ESTACIONAMENTO CAMINHÃO/CARRETA/EQUIPAMENTOS",2,33.55,67.1,"SALVADOR"
"10788",12702,"II.3.8","ESTACIONAMENTO CAMINHÃO/CARRETA/EQUIPAMENTOS",4,33.55,134.2,"SALVADOR"
"10789",12703,"II.3.8","ESTACIONAMENTO CAMINHÃO/CARRETA/EQUIPAMENTOS",4,33.55,134.2,"SALVADOR"
"10790",12704,"II.3.8","ESTACIONAMENTO CAMINHÃO/CARRETA/EQUIPAMENTOS",4,33.55,134.2,"SALVADOR"
"660",2224,"II.3.8","ESTACIONAMENTO CAMINHÃO/CARRETA/EQUIPAMENTOS",2,33.55,67.1,"SALVADOR"
"661",2225,"II.3.8","ESTACIONAMENTO CAMINHÃO/CARRETA/EQUIPAMENTOS",4,33.55,134.2,"SALVADOR"
"662",2226,"II.3.8","ESTACIONAMENTO CAMINHÃO/CARRETA/EQUIPAMENTOS",4,33.55,134.2,"SALVADOR"
"10785",12699,"II.3.8","ESTACIONAMENTO CAMINHÃO/CARRETA/EQUIPAMENTOS",4,33.55,134.2,"SALVADOR"
"10786",12700,"II.3.8","ESTACIONAMENTO CAMINHÃO/CARRETA/EQUIPAMENTOS",4,33.55,134.2,"SALVADOR"
"10787",12701,"II.3.8","ESTACIONAMENTO CAMINHÃO/CARRETA/EQUIPAMENTOS",4,33.55,134.2,"SALVADOR"
"68",97,"I.3.1.1","INFRAESTRUTURA TERRESTRE   [TONELADA ] ",1,0.5,0.5,"SALVADOR"
"10792",12706,"I.1.6.2","INFRAMAR-ATRACAÇÃO EM TUP PARA OUTROS FINS",82457,0.51,42053.07,"SALVADOR"
"62",81,"II.3.1.1","AGUA PARA EMBARCAÇÃO M3",6,1.09,6.54,"SALVADOR"
"62",82,"II.3.1.3","AGUA PARA EMBARCAÇÃO M3",6,22.45,134.7,"SALVADOR"
"62",83,"II.3.9.25","AGUA PARA EMBARCAÇÃO M3",1.8,22.45,40.41,"SALVADOR"
"70",99,"II.3.1.1","AGUA PARA EMBARCAÇÃO M3",677,1.09,737.93,"SALVADOR"
"70",100,"II.3.1.3","AGUA PARA EMBARCAÇÃO M3",677,22.45,15198.65,"SALVADOR"
"70",101,"II.3.9.25","AGUA PARA EMBARCAÇÃO M3",203.1,22.45,4559.6,"SALVADOR"
"180",408,"I.2.1","ACOSTAGEM   [CONTÊINER ] ",6528,0.36,2350.08,"SALVADOR"
"211",553,"I.2.1","ACOSTAGEM   [CONTÊINER ] ",5041.68,0.36,1815.01,"SALVADOR"
"212",554,"I.2.1","ACOSTAGEM   [CONTÊINER ] ",5472,0.36,1969.92,"SALVADOR"
"220",591,"I.2.1","ACOSTAGEM   [CONTÊINER ] ",5220,0.36,1879.2,"SALVADOR"
