"PORTO","PROGR","NUM_FATURA","DAT_EMISSAO","NOM_RAZA_SOCIAL","NUM_MEDICAO","DESCR_SERVICO","VLR_FATURA","DF_LIST_FAT_CABEC","EXISTE_PROGR"
"SALVADOR",25007,180,2022-10-18,"TECON",493,"Acostagem [Contêiner]",2350.08,"TECON","Sim"
"SALVADOR",25030,211,2022-10-19,"TECON",631,"Acostagem [Contêiner]",1815.01,"TECON","Sim"
"SALVADOR",25028,212,2022-10-19,"TECON",643,"Acostagem [Contêiner]",1969.92,"TECON","Sim"
"SALVADOR",25029,220,2022-10-19,"TECON",668,"Acostagem [Contêiner]",1879.2,"TECON","Sim"
"SALVADOR",25086,275,2022-10-24,"STAR SHIP AGENCIA MARITIMA LTDA",906,"Acostagem [embarcações SEM movimentação de cargas]",1325.73,"STAR SHIP AGENCIA MARITIMA LTDA","Sim"
"SALVADOR",25109,296,2022-10-28,"STAR SHIP AGENCIA MARITIMA LTDA",978,"Acostagem [embarcações SEM movimentação de cargas]",2174.21,"STAR SHIP AGENCIA MARITIMA LTDA","Sim"
"SALVADOR",25201,537,2022-12-14,"STAR SHIP AGENCIA MARITIMA LTDA",1872,"Acostagem [embarcações SEM movimentação de cargas]",53016.81,"STAR SHIP AGENCIA MARITIMA LTDA","Sim"
"SALVADOR",25199,566,2022-12-21,"STAR SHIP AGENCIA MARITIMA LTDA",2020,"Acostagem [embarcações SEM movimentação de cargas]",2960.62,"STAR SHIP AGENCIA MARITIMA LTDA","Sim"
"SALVADOR",25200,567,2022-12-21,"STAR SHIP AGENCIA MARITIMA LTDA",2022,"Acostagem [embarcações SEM movimentação de cargas]",5570.95,"STAR SHIP AGENCIA MARITIMA LTDA","Sim"
"SALVADOR",25211,568,2022-12-21,"STAR SHIP AGENCIA MARITIMA LTDA",2024,"Acostagem [embarcações SEM movimentação de cargas]",4300.13,"STAR SHIP AGENCIA MARITIMA LTDA","Sim"
"SALVADOR",25192,569,2022-12-21,"STAR SHIP AGENCIA MARITIMA LTDA",2026,"Acostagem [embarcações SEM movimentação de cargas]",3273.23,"STAR SHIP AGENCIA MARITIMA LTDA","Sim"
