,NUM_ITEM_CONTRATO,NUM_CONTRATO,NUM_TIP_COBRANC,POR_NUM_ITEM_CONTRATO,COD_ITEM_CONTRATO,VLR_ITEM_CONTRATO,ATTRIB,DTUPDATE,DCR_ITEM_CONTRATO_RESUMO,DCR_ITEM_CONTRATO,CODUSUARIO,INSTANCE,codUserUpdate,NUM_UND_MED,DAT_INICIO,DAT_FIM,DCR_MEMORIA_CALCULO,FLG_STATUS,COD_SERVICO_ERP,COD_EMPRESA_ERP,PRC_DESCONTO,DAT_COBRANCA_ATUAL,CodDominio
0,2.0,2.0,2.0,,1,,A,2022-10-06 12:06:12.000,"I.2.1-POR METRO DE COMPRIMENTO TOTAL DA EMBARCAÇÃO ATRACADA,","I.2.1-POR METRO DE COMPRIMENTO TOTAL DA EMBARCAÇÃO ATRACADA, EM CAIS LINEAR POR HORA OU FRAÇÃO",,,73.0,10.0,,,(QTD_COMPRIMENTO_NAVIO*QTD_EST_NORMAL),A,I.2.1,1,0.0,,
1,3.0,2.0,2.0,,2,,A,2022-12-20 17:17:48.000,I.2.1.1-POR METRO DE COMPRIMENTO TOTAL DA EMBARCAÇÃO ATRACAD,"I.2.1.1 - POR METRO DE COMPRIMENTO TOTAL DA EMBARCAÇÃO ATRACADA, EM CAIS LINEAR POR HORA OU FRAÇÃO (EM DOBRO)",,,73.0,10.0,,,(QTD_COMPRIMENTO_NAVIO*QTD_ESTADIA_HR),A,I.2.1.1,1,0.0,,
2,4.0,2.0,2.0,,I.2.2.1,,A,2022-10-05 23:05:22.000,"ATRACAÇÃO EM TERMINAIS DE GRANÉIS SÓLIDOS, LÍQUIDOS OU GASOS","ATRACAÇÃO EM TERMINAIS DE GRANÉIS SÓLIDOS, LÍQUIDOS OU GASOSOS, POR HORA OU FRAÇÃO - PIER DE GRANÉIS SÓLIDOS - BERÇO SUL (TGS I - SUL)",,,73.0,10.0,,,QTD_MEDICAO,A,I.2.2.1,1,0.0,,
3,5.0,2.0,2.0,,I.2.2.1.1,,A,2022-05-23 10:23:50.000,"ATRACAÇÃO EM TERMINAIS DE GRANÉIS SÓLIDOS, LÍQUIDOS OU GASOS","ATRACAÇÃO EM TERMINAIS DE GRANÉIS SÓLIDOS, LÍQUIDOS OU GASOSOS, POR HORA OU FRAÇÃO - PIER DE GRANÉIS SÓLIDOS - BERÇO SUL (TGS I - SUL) (EM DOBRO)",,,,10.0,,,QTD_MEDICAO,A,I.2.2.1.1,1,0.0,,
4,16.0,3.0,2.0,,15,,A,2022-11-17 09:28:54.000,"I.1.1.1-POR TONELADA DE MERCADORIA CARREGADA, DESCARREGADA -","I.1.1.1 - POR TONELADA DE MERCADORIA CARREGADA, DESCARREGADA - CARGA GERAL SOLTA OU UNITIZADA (LC)",,,,3.0,,,QTD_MEDICAO,A,I.1.1.1,1,0.0,,
5,17.0,3.0,2.0,,16,,A,2022-11-17 09:31:00.000,"I.1.1.2-POR TONELADA DE MERCADORIA CARREGADA, DESCARREGADA O","I.1.1.2 - POR TONELADA DE MERCADORIA CARREGADA, DESCARREGADA OU BALDEADA - GRANEL SÓLIDO (LC)",,,73.0,3.0,,,QTD_MEDICAO,A,I.1.1.2,1,0.0,,
6,18.0,3.0,2.0,,17,,A,2022-11-17 09:32:16.000,"I.1.1.3 - POR TONELADA DE MERCADORIA CARREGADA, DESCARREGADA","I.1.1.3 - POR TONELADA DE MERCADORIA CARREGADA, DESCARREGADA OU BALDEADA - GRANEL LÍQUIDO",,,,3.0,,,QTD_MEDICAO,A,I.1.1.3,1,0.0,,
7,19.0,3.0,2.0,,18,,A,2022-10-05 11:41:41.000,"I.1.2.1-POR CONTÊINER CARREGADO, DESCARREGADO OU BALDEADO -","I.1.2.1 - POR CONTÊINER CARREGADO, DESCARREGADO OU BALDEADO - CONTÊINER CHEIO (LC)",,,,14.0,,,QTD_MEDICAO,A,I.1.2.1,1,0.0,,
8,20.0,3.0,2.0,,19,,A,2022-10-05 11:47:18.000,"I.1.2.2-POR CONTÊINER CARREGADO, DESCARREGADO OU BALDEADO -","I.1.2.2 - POR CONTÊINER CARREGADO, DESCARREGADO OU BALDEADO - CONTÊINER VAZIO (LC)",,,,14.0,,,QTD_MEDICAO,A,I.1.2.2,1,0.0,,
9,21.0,3.0,2.0,,20,,A,2022-10-05 11:43:57.000,I.1.3 -POR VEÍCULO MOVIMENTADO PELO SISTEMA ROLL-ON ROLL-OFF,I.1.3 - POR VEÍCULO MOVIMENTADO PELO SISTEMA ROLL-ON ROLL-OFF,,,,1.0,,,QTD_MEDICAO,A,I.1.3,1,0.0,,
10,22.0,3.0,2.0,,21,,A,2022-10-05 09:45:51.000,I.1.4.1-POR TONELADA DE COMBUSTÍVEL RECEBIDO POR NAVIO - NAV,I.1.4.1 - POR TONELADA DE COMBUSTÍVEL RECEBIDO POR NAVIO - NAVIO ATRACADO,,,,3.0,,,QTD_MEDICAO,A,I.1.4.1,1,0.0,,
11,23.0,3.0,2.0,,22,,A,2022-10-06 01:55:50.000,I.1.5.1-POR TONELADA LÍQUIDA DE REGISTRO (TLR) DA EMBARCAÇÃO,I.1.5.1 - POR TONELADA LÍQUIDA DE REGISTRO (TLR) DA EMBARCAÇÃO DESTINADA AO TRANSPORTE DE PASSAGEIROS - COM ATRACAÇÃO NO PORTO,,,,3.0,,,(TLR_EMBARCACAO*VLR_TARIFA),A,I.1.5.1,1,0.0,,
12,24.0,3.0,2.0,,23,,A,2022-10-17 11:10:34.000,I.1.6.1-POR TONELADA DE PORTE BRUTO (DEADWEIGHT) DE EMBARCAÇ,I.1.6.1 - POR TONELADA DE PORTE BRUTO (DEADWEIGHT) DE EMBARCAÇÃO SEM MOVIMENTAÇÃO DE MERCADORIA - COM ATRACAÇÃO NO PORTO,,,,3.0,,,QTD_MEDICAO,A,I.1.6.1,1,0.0,,
